M. code,Material,Category,Sub Category,Location,UoM,Balance,Min Stock ,Reorder Point
20001240,Ld plain bag 60*90 cm 35 mic,Packaging,STICKER,Main Warehouse,Pc,0,0,0
20001241,Ld plain sheet 30*35 cm 35 mic,Packaging,STICKER,Main Warehouse,Pc,140,0,0
20001258,Rayan Mozzareline mini 3 KG,Packaging,STICKER,Main Warehouse,Pc,9000,,0
20000014,Shrink film 380x45micr,Packaging,ROLL,Main Warehouse,Pc,280,0,
20000015,Strech roll 50x500 mtrsx20mic,Packaging,ROLL,Main Warehouse,Pc,1120,0,
20001178,Shrink film 330x30micr,Packaging,ROLL,Main Warehouse,Pc,4450,0,
20000017,Shrink film 320x45micr for Rawabi 200ml,Packaging,ROLL,Main Warehouse,Pc,0,0,
20000331,Shrink film 44x1200mtrsx50mic,Packaging,ROLL,Main Warehouse,Pc,900,0,
20000529,Shrink roll 520x40micr,Packaging,ROLL,Main Warehouse,Pc,3757.5,5600,9800
20001251,Shrink roll 520x40micr design,Packaging,ROLL,Main Warehouse,Pc,980,0,0
20000318,Shrink roll 520x50micr,Packaging,ROLL,Main Warehouse,Pc,6280,5600,9800
20000848,Mechine stretch roll with 500 lenth 1500x23mic,Packaging,ROLL,Main Warehouse,Pc,1552,2800,4900
20000013,Plastic shrink wrap roll for Yoghurt ,Packaging,ROLL,Main Warehouse,Pc,50,140,245
20000183,Woodant pallates,Packaging,PALLAET,Main Warehouse,Pc,282,5,800
20001239,HD Plain sheet 80*100cm 11mic,Packaging,ROLL,Main Warehouse,Pc,80,,
